layer,mean_kl,p25_kl,p75_kl,p99_token_kl
0,3.557e-04,2.895e-04,4.381e-04,4.731e-03
1,3.698e-04,2.998e-04,4.418e-04,4.949e-03
2,3.512e-04,3.151e-04,4.183e-04,4.613e-03
4,3.489e-04,2.887e-04,3.985e-04,4.700e-03
5,3.578e-04,2.752e-04,4.313e-04,4.578e-03
6,3.754e-04,3.217e-04,4.293e-04,4.914e-03
8,3.576e-04,3.181e-04,4.211e-04,4.578e-03
9,3.513e-04,2.882e-04,4.215e-04,4.655e-03
10,3.773e-04,3.006e-04,4.687e-04,4.852e-03
12,3.679e-04,2.983e-04,4.246e-04,4.642e-03
13,3.824e-04,2.924e-04,4.487e-04,5.005e-03
14,3.768e-04,3.299e-04,4.314e-04,4.914e-03
16,3.908e-04,3.173e-04,4.692e-04,5.109e-03
17,4.557e-04,3.254e-04,5.832e-04,5.219e-03
18,4.898e-04,3.731e-04,6.044e-04,6.195e-03
20,3.747e-04,3.055e-04,4.241e-04,4.608e-03
21,3.225e-04,2.579e-04,3.724e-04,4.425e-03
22,3.348e-04,3.000e-04,3.791e-04,4.548e-03
24,2.870e-04,2.344e-04,3.289e-04,3.891e-03
25,2.632e-04,2.172e-04,3.139e-04,3.891e-03
26,2.458e-04,1.846e-04,2.967e-04,3.784e-03
28,3.001e-04,2.493e-04,3.374e-04,4.157e-03
29,2.573e-04,1.685e-04,3.031e-04,3.967e-03
30,2.880e-04,2.279e-04,3.444e-04,4.300e-03
